provider,workspace_id,integration_id,endpoint_type,metric_name,normalized_field,raw_available,availability_status,status_code,error_code,error_message,asset_id,asset_name,reason,sample_value
facebook_pages,2,2,token,access_token,access_token,False,unavailable,,,Facebook Pages token not found.,,,missing_token,
instagram_business,2,,integration,integration,integration_status,False,unavailable,,,Instagram Business integration not found.,,,integration_missing,
meta_ads,2,,integration,integration,integration_status,False,unavailable,,,Meta Ads integration not found.,,,integration_missing,
